data,id_campanha,campanha,canal,objetivo,publico,regiao,dispositivo,impressoes,cliques,leads,conversoes,novos_clientes,investimento,receita_atribuida,orcamento_diario
2025-01-02,GGL-003,Performance Max,Google Ads,Receita,Multicanal,Centro-Oeste,Mobile,9941,254,18,5,4,858.32,4282.13,1114.07
2025-01-02,MET-001,Remarketing Social,Meta Ads,Conversoes,Visitantes do site,Sul,Tablet,16310,384,41,16,8,657.27,8985.6,1041.39
2025-01-02,MET-002,Prospeccao Interesses,Meta Ads,Leads,Interesses,Nordeste,Mobile,20481,389,29,5,4,879.72,3405.6,965.95
2025-01-02,MET-003,Publico Lookalike,Meta Ads,Leads,Semelhantes,Centro-Oeste,Mobile,20571,383,32,3,3,701.51,2210.31,974.16
2025-01-02,LNK-001,Demo B2B,LinkedIn Ads,Leads,Decisores B2B,Sul,Mobile,7967,70,4,0,0,715.24,0.0,714.42
2025-01-02,LNK-002,Webinar Executivo,LinkedIn Ads,Leads,Liderancas,Norte,Mobile,5831,66,10,1,1,561.62,2757.41,658.89
2025-01-02,TTK-001,Video Descoberta,TikTok Ads,Alcance,Publico jovem,Sudeste,Mobile,28638,515,15,1,1,584.37,510.26,991.12
2025-01-02,TTK-002,Criadores e Reviews,TikTok Ads,Conversoes,Engajados,Centro-Oeste,Mobile,19880,573,29,5,4,860.74,2276.79,1349.24
2025-01-02,EML-001,Oferta Base Ativa,Email Marketing,Receita,Clientes ativos,Nordeste,Desktop,20280,2070,343,41,7,712.6,31626.95,883.2
2025-01-02,EML-002,Nutricao de Leads,Email Marketing,Conversoes,Leads em nutricao,Nordeste,Mobile,14284,1006,113,11,4,486.28,7117.53,627.6
2025-01-03,GGL-001,Pesquisa Marca,Google Ads,Conversoes,Alta intencao,Sudeste,Mobile,4457,319,49,16,10,813.68,12544.83,952.56
2025-01-03,GGL-002,Pesquisa Generica,Google Ads,Conversoes,Intencao ampla,Sudeste,Mobile,6174,260,30,5,4,1055.83,5213.55,1404.35
2025-01-03,GGL-003,Performance Max,Google Ads,Receita,Multicanal,Sul,Mobile,10430,272,16,3,3,983.24,2802.25,1114.07
2025-01-03,MET-001,Remarketing Social,Meta Ads,Conversoes,Visitantes do site,Nordeste,Mobile,13803,446,38,13,5,774.17,11075.01,1041.39
2025-01-03,MET-002,Prospeccao Interesses,Meta Ads,Leads,Interesses,Norte,Tablet,21108,354,32,8,5,799.39,5116.86,965.95
2025-01-03,MET-003,Publico Lookalike,Meta Ads,Leads,Semelhantes,Sudeste,Mobile,18486,424,34,5,4,885.72,2959.46,974.16
2025-01-03,LNK-001,Demo B2B,LinkedIn Ads,Leads,Decisores B2B,Nordeste,Mobile,7038,88,10,2,1,905.55,6805.63,714.42
2025-01-03,LNK-002,Webinar Executivo,LinkedIn Ads,Leads,Liderancas,Sul,Mobile,4937,44,8,0,0,337.0,0.0,658.89
2025-01-03,TTK-001,Video Descoberta,TikTok Ads,Alcance,Publico jovem,Sudeste,Mobile,37711,867,43,5,5,1017.76,2341.25,991.12
2025-01-03,TTK-002,Criadores e Reviews,TikTok Ads,Conversoes,Engajados,Norte,Tablet,23655,570,40,6,4,890.46,3585.55,1349.24
2025-01-03,EML-001,Oferta Base Ativa,Email Marketing,Receita,Clientes ativos,Nordeste,Mobile,14972,1901,380,63,2,589.54,37457.88,883.2
2025-01-03,EML-002,Nutricao de Leads,Email Marketing,Conversoes,Leads em nutricao,Sudeste,Mobile,13564,1184,146,15,6,489.68,11012.08,627.6
2025-01-04,GGL-001,Pesquisa Marca,Google Ads,Conversoes,Alta intencao,Nordeste,Mobile,2482,156,24,5,3,410.37,4052.82,952.56
2025-01-04,GGL-002,Pesquisa Generica,Google Ads,Conversoes,Intencao ampla,Sudeste,Mobile,4488,178,16,5,3,832.78,4694.4,1404.35
2025-01-04,GGL-003,Performance Max,Google Ads,Receita,Multicanal,Nordeste,Mobile,5637,142,8,1,1,462.68,1031.46,1114.07
2025-01-04,MET-001,Remarketing Social,Meta Ads,Conversoes,Visitantes do site,Sudeste,Mobile,14135,439,59,16,6,744.15,13413.32,1041.39
2025-01-04,MET-002,Prospeccao Interesses,Meta Ads,Leads,Interesses,Norte,Desktop,16185,240,21,2,1,452.74,1671.97,965.95
2025-01-04,MET-003,Publico Lookalike,Meta Ads,Leads,Semelhantes,Nordeste,Mobile,12292,228,22,3,3,469.77,2126.59,974.16
2025-01-04,LNK-001,Demo B2B,LinkedIn Ads,Leads,Decisores B2B,Sudeste,Mobile,5316,41,3,1,1,434.23,3190.79,714.42
2025-01-04,LNK-002,Webinar Executivo,LinkedIn Ads,Leads,Liderancas,Sul,Mobile,4055,57,11,1,1,481.58,2672.06,658.89
2025-01-04,TTK-001,Video Descoberta,TikTok Ads,Alcance,Publico jovem,Norte,Tablet,27499,581,15,1,1,709.6,498.52,991.12
2025-01-04,TTK-002,Criadores e Reviews,TikTok Ads,Conversoes,Engajados,Sudeste,Desktop,23385,656,37,4,4,938.75,2477.23,1349.24
2025-01-04,EML-001,Oferta Base Ativa,Email Marketing,Receita,Clientes ativos,Sudeste,Mobile,15839,1930,369,42,5,609.78,26709.77,883.2
2025-01-04,EML-002,Nutricao de Leads,Email Marketing,Conversoes,Leads em nutricao,Sudeste,Mobile,11158,776,76,9,4,400.76,5102.57,627.6
2025-01-05,GGL-001,Pesquisa Marca,Google Ads,Conversoes,Alta intencao,Sul,Mobile,2835,260,39,19,15,689.74,15412.17,952.56
2025-01-05,GGL-002,Pesquisa Generica,Google Ads,Conversoes,Intencao ampla,Nordeste,Mobile,4781,195,18,3,2,918.14,2452.26,1404.35
2025-01-05,GGL-003,Performance Max,Google Ads,Receita,Multicanal,Nordeste,Mobile,7436,210,12,4,4,715.59,4277.39,1114.07
2025-01-05,MET-001,Remarketing Social,Meta Ads,Conversoes,Visitantes do site,Sudeste,Mobile,14123,400,35,12,4,690.11,7944.01,1041.39
2025-01-05,MET-002,Prospeccao Interesses,Meta Ads,Leads,Interesses,Sudeste,Mobile,16970,311,20,4,3,706.47,2178.82,965.95
2025-01-05,MET-003,Publico Lookalike,Meta Ads,Leads,Semelhantes,Sudeste,Desktop,14671,287,26,3,3,563.26,2137.03,974.16
2025-01-05,LNK-001,Demo B2B,LinkedIn Ads,Leads,Decisores B2B,Sudeste,Desktop,4453,40,3,2,2,405.44,7269.99,714.42
2025-01-05,LNK-002,Webinar Executivo,LinkedIn Ads,Leads,Liderancas,Nordeste,Mobile,3940,27,2,0,0,245.14,0.0,658.89
2025-01-05,TTK-001,Video Descoberta,TikTok Ads,Alcance,Publico jovem,Norte,Mobile,28370,626,26,4,4,730.59,1833.67,991.12
2025-01-05,TTK-002,Criadores e Reviews,TikTok Ads,Conversoes,Engajados,Nordeste,Mobile,23425,554,38,8,6,830.7,4342.72,1349.24
2025-01-05,EML-001,Oferta Base Ativa,Email Marketing,Receita,Clientes ativos,Sudeste,Desktop,17346,1964,346,36,6,643.32,20645.35,883.2
2025-01-05,EML-002,Nutricao de Leads,Email Marketing,Conversoes,Leads em nutricao,Sul,Mobile,10115,734,98,10,7,375.7,7203.98,627.6
2025-01-06,GGL-001,Pesquisa Marca,Google Ads,Conversoes,Alta intencao,Sudeste,Tablet,3336,196,42,15,11,582.94,13868.86,952.56
2025-01-06,GGL-002,Pesquisa Generica,Google Ads,Conversoes,Intencao ampla,Centro-Oeste,Desktop,5902,239,34,7,5,951.57,7003.6,1404.35
2025-01-06,GGL-003,Performance Max,Google Ads,Receita,Multicanal,Sul,Mobile,8330,239,12,0,0,856.45,0.0,1114.07
2025-01-06,MET-001,Remarketing Social,Meta Ads,Conversoes,Visitantes do site,Sudeste,Mobile,14263,441,59,19,6,766.87,11043.42,1041.39
2025-01-06,MET-002,Prospeccao Interesses,Meta Ads,Leads,Interesses,Norte,Mobile,23055,282,24,5,5,638.81,3612.41,965.95
2025-01-06,MET-003,Publico Lookalike,Meta Ads,Leads,Semelhantes,Nordeste,Desktop,18697,397,44,5,5,828.84,3825.29,974.16
2025-01-06,LNK-001,Demo B2B,LinkedIn Ads,Leads,Decisores B2B,Sul,Desktop,5876,38,3,0,0,357.6,0.0,714.42
2025-01-06,LNK-002,Webinar Executivo,LinkedIn Ads,Leads,Liderancas,Sul,Mobile,6352,84,13,3,3,687.89,7920.72,658.89
2025-01-06,TTK-001,Video Descoberta,TikTok Ads,Alcance,Publico jovem,Sul,Mobile,32441,661,17,0,0,746.82,0.0,991.12
2025-01-06,TTK-002,Criadores e Reviews,TikTok Ads,Conversoes,Engajados,Sudeste,Mobile,26353,690,36,3,3,1151.35,1429.12,1349.24
2025-01-06,EML-001,Oferta Base Ativa,Email Marketing,Receita,Clientes ativos,Nordeste,Mobile,19615,2377,413,72,12,730.0,36383.62,883.2
2025-01-06,EML-002,Nutricao de Leads,Email Marketing,Conversoes,Leads em nutricao,Sul,Mobile,13821,972,129,5,4,473.62,2766.77,627.6
2025-01-07,GGL-001,Pesquisa Marca,Google Ads,Conversoes,Alta intencao,Sul,Mobile,3696,254,30,12,8,747.49,9296.23,952.56
2025-01-07,GGL-002,Pesquisa Generica,Google Ads,Conversoes,Intencao ampla,Sul,Desktop,4949,156,20,2,2,699.55,2285.4,1404.35
2025-01-07,GGL-003,Performance Max,Google Ads,Receita,Multicanal,Sudeste,Mobile,8877,244,16,4,2,856.29,4076.48,1114.07
2025-01-07,MET-001,Remarketing Social,Meta Ads,Conversoes,Visitantes do site,Nordeste,Mobile,17729,612,71,20,9,968.08,15092.14,1041.39
2025-01-07,MET-002,Prospeccao Interesses,Meta Ads,Leads,Interesses,Centro-Oeste,Desktop,19621,321,30,5,4,628.08,3478.46,965.95
2025-01-07,MET-003,Publico Lookalike,Meta Ads,Leads,Semelhantes,Nordeste,Mobile,15844,331,30,4,3,655.45,2215.2,974.16
2025-01-07,LNK-001,Demo B2B,LinkedIn Ads,Leads,Decisores B2B,Sul,Mobile,5627,51,5,0,0,515.16,0.0,714.42
2025-01-07,LNK-002,Webinar Executivo,LinkedIn Ads,Leads,Liderancas,Sul,Mobile,4578,65,13,1,1,454.11,3100.01,658.89
2025-01-07,TTK-001,Video Descoberta,TikTok Ads,Alcance,Publico jovem,Sudeste,Mobile,35488,595,32,4,3,661.97,1948.02,991.12
2025-01-07,TTK-002,Criadores e Reviews,TikTok Ads,Conversoes,Engajados,Sudeste,Mobile,20627,486,18,4,2,785.92,2197.52,1349.24
2025-01-07,EML-001,Oferta Base Ativa,Email Marketing,Receita,Clientes ativos,Nordeste,Tablet,15411,1845,347,45,6,592.72,30912.93,883.2
2025-01-07,EML-002,Nutricao de Leads,Email Marketing,Conversoes,Leads em nutricao,Sul,Mobile,16439,1234,155,14,5,552.18,9518.11,627.6
2025-01-08,GGL-001,Pesquisa Marca,Google Ads,Conversoes,Alta intencao,Centro-Oeste,Mobile,4335,350,41,15,11,1018.93,14248.5,952.56
2025-01-08,GGL-002,Pesquisa Generica,Google Ads,Conversoes,Intencao ampla,Sul,Desktop,7167,271,38,3,3,1115.51,2988.64,1404.35
2025-01-08,GGL-003,Performance Max,Google Ads,Receita,Multicanal,Sul,Desktop,10588,269,21,2,2,981.59,2251.48,1114.07
2025-01-08,MET-001,Remarketing Social,Meta Ads,Conversoes,Visitantes do site,Sudeste,Desktop,15408,527,45,10,5,854.51,6589.89,1041.39
2025-01-08,MET-002,Prospeccao Interesses,Meta Ads,Leads,Interesses,Nordeste,Desktop,22798,342,23,7,6,699.31,4741.14,965.95
2025-01-08,MET-003,Publico Lookalike,Meta Ads,Leads,Semelhantes,Centro-Oeste,Mobile,19353,462,32,9,7,976.82,5940.13,974.16
2025-01-08,LNK-001,Demo B2B,LinkedIn Ads,Leads,Decisores B2B,Sudeste,Desktop,5812,65,5,0,0,656.48,0.0,714.42
2025-01-08,LNK-002,Webinar Executivo,LinkedIn Ads,Leads,Liderancas,Sudeste,Mobile,5287,60,6,2,1,509.97,5194.71,658.89
2025-01-08,TTK-001,Video Descoberta,TikTok Ads,Alcance,Publico jovem,Nordeste,Mobile,35435,607,33,3,3,726.55,1269.03,991.12
2025-01-08,TTK-002,Criadores e Reviews,TikTok Ads,Conversoes,Engajados,Sul,Mobile,31223,829,55,6,5,1276.07,2854.11,1349.24
2025-01-08,EML-001,Oferta Base Ativa,Email Marketing,Receita,Clientes ativos,Nordeste,Mobile,17831,2286,568,72,12,685.22,47242.03,883.2
2025-01-08,EML-002,Nutricao de Leads,Email Marketing,Conversoes,Leads em nutricao,Centro-Oeste,Mobile,17822,1718,206,19,6,628.24,13024.78,627.6
2025-01-09,GGL-001,Pesquisa Marca,Google Ads,Conversoes,Alta intencao,Nordeste,Desktop,3278,264,43,14,7,755.93,12623.09,952.56
2025-01-09,GGL-002,Pesquisa Generica,Google Ads,Conversoes,Intencao ampla,Nordeste,Mobile,5215,240,21,8,6,1002.84,7090.22,1404.35
2025-01-09,GGL-003,Performance Max,Google Ads,Receita,Multicanal,Sudeste,Mobile,11160,325,31,12,8,1195.54,10873.13,1114.07
2025-01-09,MET-001,Remarketing Social,Meta Ads,Conversoes,Visitantes do site,Nordeste,Mobile,16876,466,44,11,5,789.47,8689.43,1041.39
2025-01-09,MET-002,Prospeccao Interesses,Meta Ads,Leads,Interesses,Norte,Mobile,23940,339,33,5,5,697.17,3186.24,965.95
2025-01-09,MET-003,Publico Lookalike,Meta Ads,Leads,Semelhantes,Norte,Desktop,16795,362,33,5,5,729.39,2769.0,974.16
2025-01-09,LNK-001,Demo B2B,LinkedIn Ads,Leads,Decisores B2B,Centro-Oeste,Mobile,6589,64,6,1,1,722.88,2966.47,714.42
2025-01-09,LNK-002,Webinar Executivo,LinkedIn Ads,Leads,Liderancas,Sudeste,Mobile,3981,45,1,0,0,378.21,0.0,658.89
2025-01-09,TTK-001,Video Descoberta,TikTok Ads,Alcance,Publico jovem,Nordeste,Mobile,38234,770,25,4,3,804.82,1857.58,991.12
2025-01-09,TTK-002,Criadores e Reviews,TikTok Ads,Conversoes,Engajados,Centro-Oeste,Desktop,21808,498,25,4,3,777.33,1761.89,1349.24
2025-01-09,EML-001,Oferta Base Ativa,Email Marketing,Receita,Clientes ativos,Norte,Mobile,14658,1929,328,38,5,586.06,28350.59,883.2
2025-01-09,EML-002,Nutricao de Leads,Email Marketing,Conversoes,Leads em nutricao,Sul,Mobile,12973,1089,172,13,7,468.36,9545.49,627.6
2025-01-10,GGL-001,Pesquisa Marca,Google Ads,Conversoes,Alta intencao,Sudeste,Mobile,3064,219,28,7,6,578.38,6336.89,952.56
2025-01-10,GGL-002,Pesquisa Generica,Google Ads,Conversoes,Intencao ampla,Nordeste,Desktop,5421,251,22,6,5,1013.1,6983.15,1404.35
2025-01-10,GGL-003,Performance Max,Google Ads,Receita,Multicanal,Sudeste,Desktop,10042,253,21,6,6,879.75,6129.41,1114.07
2025-01-10,MET-001,Remarketing Social,Meta Ads,Conversoes,Visitantes do site,Nordeste,Desktop,17023,548,61,24,12,968.07,15277.65,1041.39
2025-01-10,MET-002,Prospeccao Interesses,Meta Ads,Leads,Interesses,Sudeste,Mobile,23663,352,27,5,5,779.53,3197.39,965.95
2025-01-10,MET-003,Publico Lookalike,Meta Ads,Leads,Semelhantes,Sul,Desktop,17402,357,25,2,2,683.46,1444.31,974.16
2025-01-10,LNK-001,Demo B2B,LinkedIn Ads,Leads,Decisores B2B,Sudeste,Mobile,6084,55,5,2,2,504.96,7004.3,714.42
2025-01-10,LNK-002,Webinar Executivo,LinkedIn Ads,Leads,Liderancas,Sudeste,Mobile,6231,83,11,2,2,777.98,5379.87,658.89
2025-01-10,TTK-001,Video Descoberta,TikTok Ads,Alcance,Publico jovem,Nordeste,Desktop,31227,513,24,3,3,630.11,1361.28,991.12
2025-01-10,TTK-002,Criadores e Reviews,TikTok Ads,Conversoes,Engajados,Sul,Desktop,28040,755,36,4,4,1187.11,2162.13,1349.24
2025-01-10,EML-001,Oferta Base Ativa,Email Marketing,Receita,Clientes ativos,Sudeste,Desktop,21598,2606,478,60,10,792.56,40924.67,883.2
2025-01-10,EML-002,Nutricao de Leads,Email Marketing,Conversoes,Leads em nutricao,Nordeste,Desktop,15732,1400,171,15,9,554.64,10111.22,627.6
2025-01-11,GGL-001,Pesquisa Marca,Google Ads,Conversoes,Alta intencao,Sudeste,Desktop,3123,215,25,5,3,622.08,5277.9,952.56
2025-01-11,GGL-002,Pesquisa Generica,Google Ads,Conversoes,Intencao ampla,Sul,Desktop,4841,252,19,3,3,1082.53,2793.71,1404.35
2025-01-11,GGL-003,Performance Max,Google Ads,Receita,Multicanal,Sudeste,Tablet,5763,158,11,1,1,554.29,896.87,1114.07
2025-01-11,MET-001,Remarketing Social,Meta Ads,Conversoes,Visitantes do site,Sudeste,Mobile,12416,314,20,6,1,563.36,4988.08,1041.39
2025-01-11,MET-002,Prospeccao Interesses,Meta Ads,Leads,Interesses,Sul,Mobile,11082,182,12,3,2,355.78,2340.38,965.95
2025-01-11,MET-003,Publico Lookalike,Meta Ads,Leads,Semelhantes,Sudeste,Desktop,16519,298,28,5,4,607.05,3287.22,974.16
2025-01-11,LNK-001,Demo B2B,LinkedIn Ads,Leads,Decisores B2B,Sudeste,Tablet,5023,48,9,1,1,467.74,3081.26,714.42
2025-01-11,LNK-002,Webinar Executivo,LinkedIn Ads,Leads,Liderancas,Sudeste,Mobile,4976,61,10,3,3,513.53,7960.72,658.89
2025-01-11,TTK-001,Video Descoberta,TikTok Ads,Alcance,Publico jovem,Centro-Oeste,Mobile,23298,473,7,2,2,598.88,841.78,991.12
2025-01-11,TTK-002,Criadores e Reviews,TikTok Ads,Conversoes,Engajados,Sudeste,Mobile,22615,640,35,7,7,980.09,3923.76,1349.24
2025-01-11,EML-001,Oferta Base Ativa,Email Marketing,Receita,Clientes ativos,Sudeste,Mobile,15779,2032,306,34,5,618.78,19975.21,883.2
2025-01-11,EML-002,Nutricao de Leads,Email Marketing,Conversoes,Leads em nutricao,Centro-Oeste,Mobile,12842,1255,145,2,1,482.34,1315.56,627.6
2025-01-12,GGL-001,Pesquisa Marca,Google Ads,Conversoes,Alta intencao,Sudeste,Mobile,3374,263,40,13,6,745.59,13053.18,952.56
2025-01-12,GGL-002,Pesquisa Generica,Google Ads,Conversoes,Intencao ampla,Centro-Oeste,Desktop,4107,179,11,2,2,741.81,2008.56,1404.35
2025-01-12,GGL-003,Performance Max,Google Ads,Receita,Multicanal,Nordeste,Desktop,7860,225,22,5,3,751.45,4535.55,1114.07
2025-01-12,MET-001,Remarketing Social,Meta Ads,Conversoes,Visitantes do site,Sudeste,Desktop,13662,294,41,11,7,513.6,7541.28,1041.39
2025-01-12,MET-002,Prospeccao Interesses,Meta Ads,Leads,Interesses,Centro-Oeste,Desktop,16144,214,17,1,1,437.13,762.32,965.95
2025-01-12,MET-003,Publico Lookalike,Meta Ads,Leads,Semelhantes,Sudeste,Desktop,12420,253,21,5,3,497.34,4170.13,974.16
2025-01-12,LNK-001,Demo B2B,LinkedIn Ads,Leads,Decisores B2B,Sudeste,Mobile,3808,45,1,0,0,418.87,0.0,714.42
2025-01-12,LNK-002,Webinar Executivo,LinkedIn Ads,Leads,Liderancas,Norte,Mobile,4639,46,7,2,2,359.64,5053.86,658.89
2025-01-12,TTK-001,Video Descoberta,TikTok Ads,Alcance,Publico jovem,Sul,Mobile,27155,541,24,4,4,567.89,1989.8,991.12
2025-01-12,TTK-002,Criadores e Reviews,TikTok Ads,Conversoes,Engajados,Sudeste,Mobile,22409,463,25,4,4,705.43,2166.57,1349.24
2025-01-12,EML-001,Oferta Base Ativa,Email Marketing,Receita,Clientes ativos,Norte,Mobile,16505,2026,366,43,4,632.7,29651.69,883.2
2025-01-12,EML-002,Nutricao de Leads,Email Marketing,Conversoes,Leads em nutricao,Sul,Mobile,10527,933,124,15,4,403.84,9975.57,627.6
2025-01-13,GGL-001,Pesquisa Marca,Google Ads,Conversoes,Alta intencao,Sul,Desktop,3936,252,52,12,8,711.9,8573.04,952.56
2025-01-13,GGL-002,Pesquisa Generica,Google Ads,Conversoes,Intencao ampla,Sudeste,Mobile,5503,277,27,8,8,1128.54,8687.64,1404.35
2025-01-13,GGL-003,Performance Max,Google Ads,Receita,Multicanal,Sudeste,Mobile,6727,183,14,0,0,642.76,0.0,1114.07
2025-01-13,MET-001,Remarketing Social,Meta Ads,Conversoes,Visitantes do site,Sul,Mobile,13613,371,47,14,8,607.87,10304.53,1041.39
2025-01-13,MET-002,Prospeccao Interesses,Meta Ads,Leads,Interesses,Sudeste,Mobile,23391,429,29,1,1,977.23,677.72,965.95
2025-01-13,MET-003,Publico Lookalike,Meta Ads,Leads,Semelhantes,Sul,Tablet,19291,419,37,9,8,816.44,6913.84,974.16
2025-01-13,LNK-001,Demo B2B,LinkedIn Ads,Leads,Decisores B2B,Sudeste,Tablet,6853,72,7,0,0,677.71,0.0,714.42
2025-01-13,LNK-002,Webinar Executivo,LinkedIn Ads,Leads,Liderancas,Sudeste,Mobile,5125,78,10,2,2,672.9,4820.67,658.89
2025-01-13,TTK-001,Video Descoberta,TikTok Ads,Alcance,Publico jovem,Sudeste,Mobile,35534,713,30,1,1,796.48,578.11,991.12
2025-01-13,TTK-002,Criadores e Reviews,TikTok Ads,Conversoes,Engajados,Sudeste,Mobile,25565,705,47,6,5,1052.76,3177.05,1349.24
2025-01-13,EML-001,Oferta Base Ativa,Email Marketing,Receita,Clientes ativos,Nordeste,Mobile,14416,1636,314,39,5,551.92,22725.54,883.2
2025-01-13,EML-002,Nutricao de Leads,Email Marketing,Conversoes,Leads em nutricao,Centro-Oeste,Mobile,14628,1300,157,15,4,522.56,10629.64,627.6
2025-01-14,GGL-001,Pesquisa Marca,Google Ads,Conversoes,Alta intencao,Sudeste,Mobile,3014,213,40,14,9,512.5,13131.94,952.56
2025-01-14,GGL-002,Pesquisa Generica,Google Ads,Conversoes,Intencao ampla,Nordeste,Desktop,5676,242,22,4,4,1054.52,3526.32,1404.35
2025-01-14,GGL-003,Performance Max,Google Ads,Receita,Multicanal,Sudeste,Mobile,10616,221,19,3,3,695.89,2658.17,1114.07
2025-01-14,MET-001,Remarketing Social,Meta Ads,Conversoes,Visitantes do site,Sudeste,Desktop,18068,529,56,16,5,942.34,13076.21,1041.39
2025-01-14,MET-002,Prospeccao Interesses,Meta Ads,Leads,Interesses,Sul,Mobile,21228,377,34,7,7,804.92,4764.59,965.95
2025-01-14,MET-003,Publico Lookalike,Meta Ads,Leads,Semelhantes,Nordeste,Mobile,15974,283,29,5,4,566.46,2769.0,974.16
2025-01-14,LNK-001,Demo B2B,LinkedIn Ads,Leads,Decisores B2B,Sul,Mobile,5888,44,7,2,2,416.76,5687.22,714.42
2025-01-14,LNK-002,Webinar Executivo,LinkedIn Ads,Leads,Liderancas,Sudeste,Mobile,4378,56,11,0,0,460.37,0.0,658.89
2025-01-14,TTK-001,Video Descoberta,TikTok Ads,Alcance,Publico jovem,Sudeste,Mobile,26942,622,16,1,1,734.02,371.46,991.12
2025-01-14,TTK-002,Criadores e Reviews,TikTok Ads,Conversoes,Engajados,Norte,Mobile,30629,827,51,4,4,1232.87,2253.64,1349.24
2025-01-14,EML-001,Oferta Base Ativa,Email Marketing,Receita,Clientes ativos,Sudeste,Mobile,15657,1664,296,30,3,579.54,20268.53,883.2
2025-01-14,EML-002,Nutricao de Leads,Email Marketing,Conversoes,Leads em nutricao,Centro-Oeste,Mobile,14016,887,114,11,7,469.02,9081.96,627.6
2025-01-15,GGL-001,Pesquisa Marca,Google Ads,Conversoes,Alta intencao,Nordeste,Mobile,3976,282,53,18,14,732.83,12908.49,952.56
2025-01-15,GGL-002,Pesquisa Generica,Google Ads,Conversoes,Intencao ampla,Sul,Desktop,6657,278,29,12,9,1236.14,13165.56,1404.35
2025-01-15,GGL-003,Performance Max,Google Ads,Receita,Multicanal,Nordeste,Desktop,8692,244,12,2,2,910.97,1637.54,1114.07
2025-01-15,MET-001,Remarketing Social,Meta Ads,Conversoes,Visitantes do site,Sudeste,Mobile,14768,365,37,9,4,662.05,6070.57,1041.39
2025-01-15,MET-002,Prospeccao Interesses,Meta Ads,Leads,Interesses,Sudeste,Mobile,23880,352,21,4,3,774.16,2826.16,965.95
2025-01-15,MET-003,Publico Lookalike,Meta Ads,Leads,Semelhantes,Sudeste,Mobile,21519,448,33,3,3,968.42,2124.34,974.16
2025-01-15,LNK-001,Demo B2B,LinkedIn Ads,Leads,Decisores B2B,Sudeste,Tablet,6456,66,7,0,0,605.82,0.0,714.42
2025-01-15,LNK-002,Webinar Executivo,LinkedIn Ads,Leads,Liderancas,Sudeste,Mobile,5081,59,1,0,0,502.61,0.0,658.89
2025-01-15,TTK-001,Video Descoberta,TikTok Ads,Alcance,Publico jovem,Sudeste,Desktop,27519,550,20,5,5,641.59,2500.54,991.12
2025-01-15,TTK-002,Criadores e Reviews,TikTok Ads,Conversoes,Engajados,Centro-Oeste,Mobile,19322,646,36,5,5,957.99,2786.33,1349.24
2025-01-15,EML-001,Oferta Base Ativa,Email Marketing,Receita,Clientes ativos,Nordeste,Mobile,19794,2401,382,56,5,735.98,39518.13,883.2
2025-01-15,EML-002,Nutricao de Leads,Email Marketing,Conversoes,Leads em nutricao,Sudeste,Mobile,10873,720,71,5,2,389.46,3757.93,627.6
2025-01-16,GGL-001,Pesquisa Marca,Google Ads,Conversoes,Alta intencao,Nordeste,Mobile,4360,287,54,19,15,826.88,16663.4,952.56
